"",Longmire,Pyramid Creek,Devil's Dream,South Puyallup River,Klapatche Park,North Puyallup River,Golden Lakes,South Mowich River,Mowich Lake,Ipsut Creek,Carbon River,Dick Creek,Mystic Camp,Granite Creek,Sunrise Camp,White River,Summerland,Indian Bar,Nickel Creek,Maple Creek,Paradise River
Longmire,0.0,3.0,5.0,11.1,14.8,17.6,22.6,29.4,32.8,38.4,41.3,42.4,46.2,51.7,56.8,58.9,65.6,70.1,76.5,80.1,87.5
Pyramid Creek,90.0,0.0,2.0,8.1,11.8,14.6,19.6,26.4,29.8,35.4,38.3,39.4,43.2,48.7,53.8,55.9,62.6,67.1,73.5,77.1,84.5
Devil's Dream,88.0,91.0,0.0,6.1,9.8,12.6,17.6,24.4,27.8,33.4,36.3,37.4,41.2,46.7,51.8,53.9,60.6,65.1,71.5,75.1,82.5
South Puyallup River,81.9,84.9,86.9,0.0,3.7,6.5,11.5,18.3,21.7,27.3,30.2,31.3,35.1,40.6,45.7,47.8,54.5,59.0,65.4,69.0,76.4
Klapatche Park,78.2,81.2,83.2,89.3,0.0,2.8,7.8,14.6,18.0,23.6,26.5,27.6,31.4,36.9,42.0,44.1,50.8,55.3,61.7,65.3,72.7
North Puyallup River,75.4,78.4,80.4,86.5,90.2,0.0,5.0,11.8,15.2,20.8,23.7,24.8,28.6,34.1,39.2,41.3,48.0,52.5,58.9,62.5,69.9
Golden Lakes,70.4,73.4,75.4,81.5,85.2,88.0,0.0,6.8,10.2,15.8,18.7,19.8,23.6,29.1,34.2,36.3,43.0,47.5,53.9,57.5,64.9
South Mowich River,63.6,66.6,68.6,74.7,78.4,81.2,86.2,0.0,3.4,9.0,11.9,13.0,16.8,22.3,27.4,29.5,36.2,40.7,47.1,50.7,58.1
Mowich Lake,60.2,63.2,65.2,71.3,75.0,77.8,82.8,89.6,0.0,5.6,8.5,9.6,13.4,18.9,24.0,26.1,32.8,37.3,43.7,47.3,54.7
Ipsut Creek,54.6,57.6,59.6,65.7,69.4,72.2,77.2,84.0,87.4,0.0,2.9,4.0,7.8,13.3,18.4,20.5,27.2,31.7,38.1,41.7,49.1
Carbon River,51.7,54.7,56.7,62.8,66.5,69.3,74.3,81.1,84.5,90.1,0.0,1.1,4.9,10.4,15.5,17.6,24.3,28.8,35.2,38.8,46.2
Dick Creek,50.6,53.6,55.6,61.7,65.4,68.2,73.2,80.0,83.4,89.0,91.9,0.0,3.8,9.3,14.4,16.5,23.2,27.7,34.1,37.7,45.1
Mystic Camp,46.8,49.8,51.8,57.9,61.6,64.4,69.4,76.2,79.6,85.2,88.1,89.2,0.0,5.5,10.6,12.7,19.4,23.9,30.3,33.9,41.3
Granite Creek,41.3,44.3,46.3,52.4,56.1,58.9,63.9,70.7,74.1,79.7,82.6,83.7,87.5,0.0,5.1,7.2,13.9,18.4,24.8,28.4,35.8
Sunrise Camp,36.2,39.2,41.2,47.3,51.0,53.8,58.8,65.6,69.0,74.6,77.5,78.6,82.4,87.9,0.0,2.1,8.8,13.3,19.7,23.3,30.7
White River,34.1,37.1,39.1,45.2,48.9,51.7,56.7,63.5,66.9,72.5,75.4,76.5,80.3,85.8,90.9,0.0,6.7,11.2,17.6,21.2,28.6
Summerland,27.4,30.4,32.4,38.5,42.2,45.0,50.0,56.8,60.2,65.8,68.7,69.8,73.6,79.1,84.2,86.3,0.0,4.5,10.9,14.5,21.9
Indian Bar,22.9,25.9,27.9,34.0,37.7,40.5,45.5,52.3,55.7,61.3,64.2,65.3,69.1,74.6,79.7,81.8,88.5,0.0,6.4,10.0,17.4
Nickel Creek,16.5,19.5,21.5,27.6,31.3,34.1,39.1,45.9,49.3,54.9,57.8,58.9,62.7,68.2,73.3,75.4,82.1,86.6,0.0,3.6,11.0
Maple Creek,12.9,15.9,17.9,24.0,27.7,30.5,35.5,42.3,45.7,51.3,54.2,55.3,59.1,64.6,69.7,71.8,78.5,83.0,89.4,0.0,7.4
Paradise River,5.5,8.5,10.5,16.6,20.3,23.1,28.1,34.9,38.3,43.9,46.8,47.9,51.7,57.2,62.3,64.4,71.1,75.6,82.0,85.6,0.0
